respondent_id,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex,income_poverty,employment_status,census_msa
70,0,0,2,1,1,0,0,1,4,1,5,5,2,5,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
72,0,1,1,1,0,0,0,0,4,2,1,4,1,1,65+ Years,< 12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
73,0,1,3,2,1,0,0,0,5,2,4,5,5,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
76,0,0,2,1,,0,0,1,4,2,2,5,4,2,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
77,0,1,1,1,1,0,0,0,5,1,1,5,5,4,35 - 44 Years,12 Years,Female,"> $75,000",Employed,"MSA, Principle City"
78,0,1,0,1,0,0,0,0,5,2,1,5,2,1,65+ Years,College Graduate,Male,,Not in Labor Force,"MSA, Not Principle  City"
80,0,0,1,1,1,0,0,1,4,1,1,4,1,1,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
81,0,1,3,1,1,0,1,0,4,2,2,5,2,1,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
84,0,1,2,2,0,0,0,0,5,4,1,5,4,1,65+ Years,12 Years,Female,,Not in Labor Force,Non-MSA
86,0,0,0,2,0,0,0,0,3,1,2,4,1,2,45 - 54 Years,< 12 Years,Male,"> $75,000",Unemployed,"MSA, Not Principle  City"
89,0,0,2,1,0,0,0,0,,1,4,4,2,4,18 - 34 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
90,0,1,1,1,1,0,0,0,3,3,2,3,2,2,18 - 34 Years,College Graduate,Female,,Employed,Non-MSA
92,0,0,1,1,0,0,0,0,2,1,4,4,1,1,18 - 34 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
93,0,1,2,1,0,0,0,0,5,4,4,5,4,2,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
94,0,0,2,0,0,0,1,0,5,5,5,5,5,1,35 - 44 Years,,Female,,,"MSA, Not Principle  City"
96,0,1,,1,1,0,,1,5,4,4,5,5,2,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
97,0,1,2,2,1,0,0,1,5,2,1,5,4,1,45 - 54 Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Principle City"
98,0,0,0,1,0,0,0,0,4,2,5,2,2,5,18 - 34 Years,Some College,Female,Below Poverty,Not in Labor Force,"MSA, Principle City"
100,0,0,2,1,1,0,1,0,4,3,2,2,3,4,18 - 34 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
101,0,1,1,2,1,0,0,1,4,5,1,1,5,1,45 - 54 Years,Some College,Female,"> $75,000",Employed,Non-MSA
102,0,1,2,2,1,0,0,1,3,5,1,5,2,4,65+ Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Principle City"
103,0,0,2,1,1,0,0,0,3,1,1,4,1,2,45 - 54 Years,12 Years,Male,Below Poverty,Unemployed,Non-MSA
105,0,0,1,1,0,0,0,0,5,1,1,5,2,1,35 - 44 Years,,Female,,,"MSA, Not Principle  City"
106,0,0,0,2,1,0,0,0,4,1,1,4,1,1,18 - 34 Years,College Graduate,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
107,1,1,2,1,1,0,0,0,5,4,1,5,4,1,45 - 54 Years,College Graduate,Male,"> $75,000",Employed,Non-MSA
108,0,0,3,2,1,0,0,0,5,2,1,2,2,1,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
110,1,1,2,2,1,0,0,0,5,4,4,5,4,4,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
112,1,1,3,2,1,0,0,1,4,4,4,5,4,4,55 - 64 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
114,0,1,1,1,1,0,0,0,4,1,2,4,2,2,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
116,1,1,2,1,0,0,0,0,4,2,1,5,2,2,55 - 64 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
118,0,1,0,2,1,0,1,0,3,1,1,4,2,2,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
119,0,1,3,2,1,0,,0,3,4,4,4,4,4,35 - 44 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
120,0,0,1,1,0,0,0,0,3,1,1,4,2,1,35 - 44 Years,12 Years,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
121,1,0,1,1,0,0,0,0,4,1,4,4,2,2,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
122,1,1,2,2,1,0,1,1,5,4,1,5,5,1,65+ Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
123,0,1,3,2,1,0,0,1,5,2,2,5,3,2,65+ Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
124,0,0,0,1,0,0,0,0,5,1,1,5,1,1,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
125,0,1,2,1,1,0,0,0,4,3,2,4,3,1,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
126,0,0,0,1,1,0,0,0,2,4,1,4,4,2,55 - 64 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
127,1,1,0,2,1,0,1,0,4,5,5,5,5,5,45 - 54 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
129,0,0,2,1,1,0,0,0,4,2,1,4,4,2,45 - 54 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
130,0,0,2,1,1,0,0,0,4,4,4,4,4,4,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
131,0,1,3,1,1,0,1,0,4,4,4,4,4,5,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
133,0,1,0,1,1,0,0,0,4,1,4,5,4,1,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
134,0,1,2,2,0,0,1,0,5,1,2,5,2,2,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
137,0,0,2,1,0,0,0,0,5,1,4,5,2,2,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
138,0,1,3,2,1,0,0,0,4,2,2,4,2,1,65+ Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
140,1,1,2,2,1,0,1,0,5,2,1,5,4,1,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
142,0,0,2,1,1,0,0,0,3,2,2,4,2,1,55 - 64 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
143,0,0,1,1,0,0,0,0,4,2,2,4,4,2,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
145,0,0,0,2,1,0,0,0,5,1,3,4,1,5,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
146,0,1,2,1,1,0,0,0,5,4,1,5,4,1,45 - 54 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
148,0,1,1,2,1,0,0,0,4,2,2,4,2,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,Non-MSA
149,0,0,0,1,0,0,0,0,4,1,1,4,1,1,18 - 34 Years,< 12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
150,0,0,,1,0,0,0,0,5,2,4,4,2,4,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
153,0,1,0,1,1,0,0,0,2,2,2,5,4,4,45 - 54 Years,College Graduate,Male,Below Poverty,Employed,"MSA, Not Principle  City"
154,0,0,0,0,1,0,0,0,2,1,1,2,1,1,65+ Years,Some College,Female,,Not in Labor Force,Non-MSA
156,0,0,1,2,1,0,0,0,4,2,2,4,2,1,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
157,0,0,1,1,1,0,0,1,4,1,1,4,2,1,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
158,1,1,2,2,1,0,0,1,4,1,1,4,2,1,55 - 64 Years,College Graduate,Female,,Employed,Non-MSA
162,1,0,1,1,0,0,0,0,4,1,1,4,1,1,35 - 44 Years,College Graduate,Male,,Employed,"MSA, Not Principle  City"
163,0,0,2,1,1,0,0,0,4,2,4,4,2,1,18 - 34 Years,< 12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
164,0,1,1,1,1,0,0,0,4,1,1,4,2,2,65+ Years,College Graduate,Male,"> $75,000",Not in Labor Force,"MSA, Principle City"
166,0,0,1,1,1,0,0,0,4,2,2,2,2,2,35 - 44 Years,College Graduate,Female,"> $75,000",Employed,Non-MSA
168,1,1,0,2,0,0,0,1,5,5,2,5,5,1,45 - 54 Years,< 12 Years,Male,Below Poverty,Unemployed,Non-MSA
169,0,0,2,1,1,0,0,0,4,1,4,4,4,1,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
170,0,0,3,0,1,0,0,0,5,4,4,4,4,4,18 - 34 Years,12 Years,Male,,Employed,Non-MSA
171,0,1,1,1,1,0,0,0,4,2,4,4,2,4,35 - 44 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
172,1,1,3,2,1,0,0,0,5,1,2,5,4,2,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
173,0,0,2,0,0,0,0,0,4,1,1,5,1,1,18 - 34 Years,12 Years,Male,"<= $75,000, Above Poverty",Unemployed,Non-MSA
174,0,0,1,1,0,0,0,0,3,2,2,4,1,1,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
176,0,0,0,1,0,0,0,0,4,1,1,4,1,1,18 - 34 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
177,0,1,2,2,1,0,0,0,4,4,4,5,4,1,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
178,1,0,3,0,1,0,0,0,5,5,2,5,4,5,35 - 44 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
179,1,0,1,2,1,0,0,0,4,2,2,4,2,2,35 - 44 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
180,0,0,0,0,0,0,0,0,1,1,1,2,1,1,45 - 54 Years,Some College,Male,"> $75,000",Employed,"MSA, Not Principle  City"
182,0,0,2,1,0,0,0,0,4,2,1,4,2,2,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
184,0,0,0,1,0,0,0,1,1,1,1,4,1,1,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
185,1,1,1,1,0,0,0,0,5,5,4,5,4,2,65+ Years,12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
186,0,0,2,1,1,0,0,0,4,2,2,4,2,2,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
187,0,0,1,1,0,0,0,0,4,1,2,2,1,1,65+ Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
190,0,0,2,2,1,0,0,0,5,1,4,5,2,4,18 - 34 Years,12 Years,Female,Below Poverty,Employed,Non-MSA
193,0,1,1,1,0,0,1,0,5,2,2,5,5,4,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
194,0,0,2,1,1,0,0,0,3,4,1,4,2,1,55 - 64 Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
199,0,1,1,2,1,0,0,1,3,3,2,4,1,1,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
200,0,0,1,2,1,0,0,0,4,2,2,4,2,1,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
201,0,0,2,1,1,0,0,0,4,2,4,4,4,4,18 - 34 Years,12 Years,Female,"<= $75,000, Above Poverty",Employed,Non-MSA
202,0,0,1,1,1,0,0,0,4,1,1,5,2,1,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
203,1,1,3,1,0,0,1,,,,,,,,18 - 34 Years,,Female,,,Non-MSA
204,1,1,2,2,1,0,0,1,5,4,4,4,4,2,45 - 54 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
205,0,0,1,1,1,0,0,,3,2,4,5,2,1,35 - 44 Years,,Female,,,"MSA, Principle City"
206,0,0,0,2,1,0,0,0,4,2,1,4,2,2,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
207,0,1,3,1,0,0,1,1,4,4,4,5,5,2,55 - 64 Years,< 12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
208,0,1,0,1,1,0,0,0,4,1,1,4,2,1,65+ Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
209,0,1,1,2,0,0,0,0,5,1,1,5,4,4,55 - 64 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,Non-MSA
210,0,0,2,1,1,0,0,0,4,1,1,5,4,1,45 - 54 Years,12 Years,Male,"> $75,000",Employed,"MSA, Not Principle  City"
211,1,1,0,1,1,0,0,1,3,1,4,1,1,4,35 - 44 Years,12 Years,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
212,0,1,1,1,0,0,0,1,5,2,1,5,4,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
213,1,1,0,2,0,0,0,0,4,4,1,4,4,1,18 - 34 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
215,1,1,2,1,1,0,0,1,4,4,4,5,4,4,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
217,0,0,1,1,1,0,0,0,,1,1,,1,1,18 - 34 Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Not Principle  City"
219,1,1,1,1,0,0,0,0,5,4,4,5,4,4,45 - 54 Years,12 Years,Male,"> $75,000",Employed,Non-MSA
220,0,0,2,1,0,0,0,0,4,2,2,5,4,1,55 - 64 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
221,0,0,2,1,1,0,0,0,4,2,2,5,1,1,18 - 34 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
222,0,0,3,1,1,0,1,0,2,1,2,2,2,2,18 - 34 Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
223,0,1,1,0,0,0,0,1,2,2,2,5,2,2,55 - 64 Years,12 Years,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
225,1,0,3,1,0,0,0,0,5,1,4,4,1,2,55 - 64 Years,< 12 Years,Male,,Not in Labor Force,"MSA, Principle City"
226,0,1,1,1,1,0,0,0,4,2,1,4,2,1,65+ Years,College Graduate,Female,,Employed,"MSA, Principle City"
227,0,1,2,1,1,0,0,0,3,2,4,5,2,4,45 - 54 Years,< 12 Years,Female,,Unemployed,"MSA, Principle City"
229,0,1,1,1,1,0,0,1,4,2,1,5,4,1,65+ Years,Some College,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
231,0,1,3,1,1,0,0,0,5,1,4,5,4,1,65+ Years,12 Years,Male,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
233,0,0,1,1,1,0,0,0,2,1,1,4,2,2,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
234,0,0,1,2,1,0,0,0,4,4,1,4,2,4,18 - 34 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
235,0,1,2,2,1,0,0,0,5,2,4,5,4,2,65+ Years,College Graduate,Male,,Not in Labor Force,"MSA, Not Principle  City"
236,0,1,1,2,1,0,0,1,4,2,2,4,2,2,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,Non-MSA
238,0,0,0,2,0,0,1,0,5,4,1,5,5,1,65+ Years,College Graduate,Male,Below Poverty,Not in Labor Force,"MSA, Principle City"
239,0,0,2,1,1,0,0,1,3,2,1,4,1,1,65+ Years,12 Years,Female,Below Poverty,Not in Labor Force,Non-MSA
240,0,0,2,1,1,0,0,0,3,3,2,4,1,1,55 - 64 Years,Some College,Female,"<= $75,000, Above Poverty",Unemployed,"MSA, Not Principle  City"
241,0,1,3,1,1,0,0,0,3,5,2,5,4,4,55 - 64 Years,12 Years,Male,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
242,0,0,1,1,0,0,0,0,2,2,1,4,2,1,35 - 44 Years,Some College,Female,"> $75,000",Not in Labor Force,Non-MSA
243,0,1,1,1,1,0,0,1,3,1,1,2,1,2,65+ Years,College Graduate,Female,,Not in Labor Force,Non-MSA
244,0,1,1,2,0,0,0,1,4,2,2,5,5,2,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Not Principle  City"
246,0,0,2,2,1,0,1,0,4,4,4,4,2,4,45 - 54 Years,College Graduate,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
247,0,1,2,2,1,0,0,0,5,2,2,5,2,1,35 - 44 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
248,0,0,1,1,0,0,0,0,5,4,1,5,4,1,18 - 34 Years,Some College,Female,Below Poverty,Not in Labor Force,"MSA, Not Principle  City"
249,0,0,2,0,1,0,1,1,3,2,4,4,2,4,45 - 54 Years,12 Years,Male,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
250,1,1,2,2,1,0,0,1,5,4,5,5,4,2,55 - 64 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Not Principle  City"
251,0,1,3,2,1,0,0,0,4,2,1,5,5,1,55 - 64 Years,< 12 Years,Female,"<= $75,000, Above Poverty",Employed,"MSA, Not Principle  City"
252,0,0,0,1,0,0,0,0,5,1,1,5,1,1,45 - 54 Years,College Graduate,Female,"> $75,000",Employed,"MSA, Principle City"
254,0,1,2,2,1,0,0,1,5,2,1,4,5,1,65+ Years,College Graduate,Female,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
255,0,0,1,0,1,0,1,0,5,5,4,5,5,4,18 - 34 Years,< 12 Years,Female,Below Poverty,Employed,"MSA, Not Principle  City"
257,0,1,2,2,1,0,0,0,4,2,1,5,4,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Not Principle  City"
258,0,0,1,1,0,0,0,0,4,1,2,4,1,2,18 - 34 Years,Some College,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
263,1,1,0,1,1,0,0,1,5,2,1,5,4,4,65+ Years,College Graduate,Male,"> $75,000",Not in Labor Force,Non-MSA
265,0,0,2,1,1,0,0,0,4,3,2,5,4,4,65+ Years,College Graduate,Male,"<= $75,000, Above Poverty",Not in Labor Force,"MSA, Principle City"
267,0,0,1,1,1,0,0,0,5,2,1,5,2,2,35 - 44 Years,College Graduate,Female,"<= $75,000, Above Poverty",Employed,"MSA, Principle City"
268,1,1,2,1,1,0,0,0,5,4,4,5,4,4,35 - 44 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
270,0,0,2,1,1,0,0,0,4,2,4,4,2,4,35 - 44 Years,College Graduate,Female,"> $75,000",Not in Labor Force,"MSA, Principle City"
275,0,1,2,1,1,0,0,0,4,2,2,5,4,1,55 - 64 Years,College Graduate,Male,"> $75,000",Employed,"MSA, Principle City"
