,h1n1_vaccine,seasonal_vaccine,age_group,sex,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,education,income_poverty,employment_status
28,0,1,1,0,2,2,1,0,0,0,4,2,2,4,2,2,2,1,0
29,1,0,4,1,2,1,1,0,0,0,5,4,4,5,2,4,1,1,2
30,1,1,0,0,1,1,1,0,0,0,5,1,2,4,2,1,3,2,1
31,1,1,3,1,2,1,1,1,1,1,3,5,5,5,2,5,0,1,2
32,0,1,2,1,2,2,1,0,0,1,4,2,1,4,2,1,2,2,1
33,0,0,2,1,1,1,0,0,0,0,4,1,1,4,1,1,2,1,1
34,0,0,2,0,0,2,0,0,0,0,4,4,1,5,2,1,2,1,1
35,1,1,3,1,2,1,1,0,1,0,4,4,4,4,4,2,2,2,1
36,1,1,0,0,2,1,1,1,0,0,4,2,4,1,4,4,3,2,2
37,0,0,0,1,2,1,1,0,0,0,2,2,2,4,4,5,2,2,1
38,1,1,3,1,1,2,0,0,0,0,5,2,1,5,1,1,1,2,2
39,1,0,0,0,0,2,0,0,0,0,5,1,2,5,1,2,3,2,1
40,1,1,2,1,3,2,1,1,1,0,5,4,1,5,5,1,3,1,1
41,1,1,0,1,1,1,0,1,0,0,5,4,2,5,4,1,3,2,2
42,0,0,2,0,2,2,1,0,0,0,4,2,1,4,2,1,3,1,1
43,0,1,3,1,0,1,1,0,0,0,4,1,1,5,4,1,3,2,1
44,0,0,2,0,1,1,1,1,1,0,5,2,4,4,2,2,3,2,1
45,0,1,3,0,1,2,0,0,0,0,3,2,2,4,2,2,3,1,0
46,0,0,3,1,1,1,1,0,0,0,4,2,2,4,2,2,3,1,1
47,0,1,4,1,2,1,1,1,1,1,4,2,2,5,5,2,1,1,1
48,0,0,2,1,2,2,1,0,0,1,4,2,2,4,2,2,3,1,1
49,0,1,1,1,3,1,1,1,1,0,2,5,5,4,1,4,2,0,0
50,1,1,2,1,3,2,1,1,1,1,4,4,5,4,4,1,3,1,1
51,0,1,2,0,3,2,1,1,1,0,3,4,5,3,5,5,3,2,1
52,0,0,1,0,2,1,1,1,1,0,4,1,2,5,1,2,1,0,0
53,0,0,3,1,1,1,0,0,0,0,3,1,1,3,1,1,3,2,1
54,0,0,0,0,2,1,0,0,0,0,4,2,2,4,2,4,1,0,2
55,1,1,1,0,2,2,0,0,0,0,4,2,2,4,4,2,3,1,1
56,0,0,4,1,1,2,1,0,0,0,3,1,1,5,1,1,2,1,2
57,0,0,0,0,2,1,1,0,0,1,4,1,5,5,2,5,3,1,1
58,0,1,4,1,3,1,0,1,1,1,5,4,4,5,4,1,0,0,2
59,0,1,4,0,1,1,0,0,0,0,4,2,1,4,1,1,0,1,2
60,0,1,4,1,3,2,1,0,0,0,5,2,4,5,5,1,3,1,2
61,1,1,0,1,2,1,0,1,1,1,5,4,4,5,5,5,2,0,2
62,0,1,1,1,1,1,1,0,0,0,5,1,1,5,5,4,1,2,1
63,0,1,4,0,3,1,1,1,1,0,5,4,2,5,5,1,0,1,1
64,0,0,2,0,1,1,1,0,0,1,4,1,1,4,1,1,1,1,1
65,0,1,3,1,3,1,1,0,1,0,4,2,2,5,2,1,2,1,1
66,1,1,0,1,2,2,1,1,1,0,5,4,4,5,4,4,3,1,1
67,0,1,2,1,3,1,1,1,1,1,4,4,4,4,4,4,3,1,1
68,1,1,3,1,2,1,1,1,1,1,5,4,2,5,4,4,1,1,1
69,0,0,2,0,0,2,0,0,0,0,3,1,2,4,1,2,0,2,0
70,0,0,0,1,3,1,1,1,1,0,3,4,2,4,4,5,1,1,2
71,0,1,4,1,1,0,1,1,1,1,4,1,1,4,1,4,1,1,2
72,0,0,0,0,1,1,0,0,0,0,2,1,4,4,1,1,1,1,1
73,0,1,0,0,2,1,0,0,0,0,5,4,4,5,4,2,3,1,2
74,0,0,0,1,2,2,1,1,0,0,5,2,4,5,2,4,3,1,0
75,0,1,2,0,2,2,1,0,0,1,5,2,1,5,4,1,3,2,2
76,0,0,0,1,0,1,0,0,0,0,4,2,5,2,2,5,2,0,2
77,0,1,4,0,2,0,1,1,0,1,3,4,2,5,1,2,0,0,2
78,0,0,0,1,2,1,1,0,1,0,4,3,2,2,3,4,1,1,1
79,0,1,2,1,1,2,1,0,0,1,4,5,1,1,5,1,2,2,1
80,0,1,4,0,2,2,1,0,0,1,3,5,1,5,2,4,3,2,2
81,0,0,2,0,2,1,1,0,0,0,3,1,1,4,1,2,1,0,0
82,0,0,0,1,0,2,1,0,0,0,4,1,1,4,1,1,3,1,0
83,1,1,2,0,2,1,1,0,0,0,5,4,1,5,4,1,3,2,1
84,0,0,1,1,3,2,1,0,0,0,5,2,1,2,2,1,3,2,1
85,0,0,4,1,0,1,1,1,1,0,3,2,1,4,1,1,1,0,2
86,1,1,3,1,2,2,1,0,0,0,5,4,4,5,4,4,3,1,2
87,1,1,3,1,3,2,1,0,0,1,4,4,4,5,4,4,1,1,1
88,0,0,1,0,2,1,1,1,1,0,3,2,2,5,4,1,1,1,1
89,0,1,1,1,1,1,1,0,0,0,4,1,2,4,2,2,3,1,1
90,1,1,3,1,2,1,0,0,0,0,4,2,1,5,2,2,1,1,1
91,0,0,3,0,2,1,1,1,1,0,4,4,4,5,2,2,1,0,0
92,0,1,2,1,0,2,1,0,1,0,3,1,1,4,2,2,2,1,1
93,0,0,1,1,1,1,0,0,0,0,3,1,1,4,2,1,1,1,2
94,1,0,3,0,1,1,0,0,0,0,4,1,4,4,2,2,3,1,1
95,1,1,4,1,2,2,1,0,1,1,5,4,1,5,5,1,0,0,2
96,0,1,4,0,3,2,1,0,0,1,5,2,2,5,3,2,3,2,2
97,0,0,0,0,0,1,0,0,0,0,5,1,1,5,1,1,3,1,1
98,0,1,1,1,2,1,1,0,0,0,4,3,2,4,3,1,3,1,2
99,0,0,3,0,0,1,1,0,0,0,2,4,1,4,4,2,1,1,1
100,1,1,2,1,0,2,1,0,1,0,4,5,5,5,5,5,2,1,2
101,1,1,4,1,3,1,1,1,0,0,5,2,4,5,4,2,1,1,2
102,0,0,2,1,2,1,1,0,0,0,4,2,1,4,4,2,3,1,1
103,0,0,3,0,2,1,1,0,0,0,4,4,4,4,4,4,2,1,1
104,0,1,3,1,3,1,1,0,1,0,4,4,4,4,4,5,2,1,1
105,0,0,1,0,2,1,1,1,1,0,5,4,2,5,2,5,2,1,1
106,0,1,4,0,0,1,1,0,0,0,4,1,4,5,4,1,3,1,2
107,0,1,4,1,2,2,0,0,1,0,5,1,2,5,2,2,2,1,2
108,0,1,4,1,3,1,1,1,0,0,5,2,4,5,4,2,1,1,2
109,0,0,3,0,2,1,0,0,0,0,5,1,4,5,2,2,3,1,2
110,0,1,4,1,3,2,1,0,0,0,4,2,2,4,2,1,3,2,2
111,0,0,0,1,0,0,1,1,1,0,4,1,1,1,1,1,0,0,1
112,1,1,3,1,2,2,1,0,1,0,5,2,1,5,4,1,2,1,2
113,0,0,3,0,3,2,1,1,1,0,4,1,1,4,1,1,3,2,1
114,0,0,3,1,2,1,1,0,0,0,3,2,2,4,2,1,1,1,1
115,0,0,1,1,1,1,0,0,0,0,4,2,2,4,4,2,3,1,1
116,0,0,2,1,3,1,1,1,0,0,5,4,5,4,4,4,3,1,1
117,0,0,4,1,0,2,1,0,0,0,5,1,3,4,1,5,2,1,2
118,0,1,2,1,2,1,1,0,0,0,5,4,1,5,4,1,3,2,2
119,0,1,4,1,2,1,1,1,1,1,3,5,2,4,5,2,2,1,1
120,0,1,3,0,1,2,1,0,0,0,4,2,2,4,2,1,3,2,1
121,0,0,0,0,0,1,0,0,0,0,4,1,1,4,1,1,0,1,1
122,1,1,4,0,2,2,1,1,1,0,5,4,1,5,5,1,3,1,2
123,0,1,2,1,1,1,0,1,1,0,4,2,4,4,4,1,2,1,1
124,0,1,2,0,0,1,1,0,0,0,2,2,2,5,4,4,3,0,1
125,0,1,1,1,2,1,1,1,0,1,3,4,4,5,4,2,3,2,1
126,0,0,2,0,1,2,1,0,0,0,4,2,2,4,2,1,1,1,1
127,0,0,2,0,1,1,1,0,0,1,4,1,1,4,2,1,1,1,1
128,1,1,0,1,2,1,1,1,1,1,4,4,4,4,4,4,1,0,1
129,0,1,4,1,0,2,1,1,0,1,4,1,1,4,4,1,2,1,2
130,0,0,1,1,1,1,1,1,0,0,4,2,2,4,1,2,3,2,1
131,0,0,0,0,2,1,1,0,0,0,4,2,4,4,2,1,0,1,1
132,0,1,4,0,1,1,1,0,0,0,4,1,1,4,2,2,3,2,2
133,0,0,1,1,3,1,1,1,1,1,5,4,5,5,2,5,1,0,0
134,0,0,1,1,1,1,1,0,0,0,4,2,2,2,2,2,3,2,1
135,1,1,3,1,2,1,1,1,1,1,5,2,2,5,1,1,1,0,2
136,1,1,2,0,0,2,0,0,0,1,5,5,2,5,5,1,0,0,0
137,0,0,3,0,2,1,1,0,0,0,4,1,4,4,4,1,2,1,1
138,0,1,1,1,1,1,1,0,0,0,4,2,4,4,2,4,2,1,1
139,1,1,3,1,3,2,1,0,0,0,5,1,2,5,4,2,3,1,2
140,0,0,0,0,2,0,0,0,0,0,4,1,1,5,1,1,1,1,0
141,0,0,0,1,1,1,0,0,0,0,3,2,2,4,1,1,3,2,1
142,0,0,0,0,0,1,0,0,0,0,4,1,1,4,1,1,3,1,1
143,0,1,0,1,2,2,1,0,0,0,4,4,4,5,4,1,2,1,1
144,1,0,1,1,3,0,1,0,0,0,5,5,2,5,4,5,0,0,2
145,1,0,1,1,1,2,1,0,0,0,4,2,2,4,2,2,3,2,2
146,0,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,1
147,0,0,2,1,3,1,1,1,1,0,5,2,4,5,5,4,1,1,1
148,0,0,4,1,2,1,0,0,0,0,4,2,1,4,2,2,2,1,2
149,0,0,2,1,0,1,0,0,0,1,1,1,1,4,1,1,3,2,1
150,1,1,4,0,1,1,0,0,0,0,5,5,4,5,4,2,1,1,2
151,0,0,2,0,2,1,1,0,0,0,4,2,2,4,2,2,1,1,1
152,0,0,4,0,1,1,0,0,0,0,4,1,2,2,1,1,2,1,2
153,0,0,3,1,1,1,1,1,1,0,4,1,2,4,4,2,0,1,1
154,0,0,0,1,2,2,1,0,0,0,5,1,4,5,2,4,1,0,1
155,0,0,2,0,0,2,1,1,1,0,4,1,1,4,2,1,1,1,0
156,1,1,0,1,2,1,1,1,1,0,5,4,4,5,5,2,0,2,2
157,0,1,0,1,1,1,0,0,1,0,5,2,2,5,5,4,2,1,0
158,0,0,3,0,2,1,1,0,0,0,3,4,1,4,2,1,2,1,2
159,1,1,3,1,2,2,1,1,1,1,4,4,1,4,4,1,2,1,2
160,1,1,3,0,0,1,1,1,1,0,5,1,1,5,1,1,2,1,1
161,0,0,0,1,1,1,0,1,0,0,4,2,1,4,2,2,0,2,2
162,0,1,0,1,1,2,1,0,0,1,3,3,2,4,1,1,3,2,1
163,0,0,0,1,1,2,1,0,0,0,4,2,2,4,2,1,2,1,2
164,0,0,0,1,2,1,1,0,0,0,4,2,4,4,4,4,1,1,1
165,0,0,0,0,1,1,1,0,0,0,4,1,1,5,2,1,2,1,1
166,1,1,2,0,2,2,1,0,0,1,5,4,4,4,4,2,3,2,1
167,0,0,0,0,0,2,1,0,0,0,4,2,1,4,2,2,2,1,1
168,0,1,3,1,3,1,0,0,1,1,4,4,4,5,5,2,0,0,2
169,0,1,4,1,0,1,1,0,0,0,4,1,1,4,2,1,3,2,2
170,0,1,3,0,1,2,0,0,0,0,5,1,1,5,4,4,3,1,1
171,0,0,2,0,2,1,1,0,0,0,4,1,1,5,4,1,1,2,1
172,1,1,1,1,0,1,1,0,0,1,3,1,4,1,1,4,1,2,2
173,0,1,3,0,1,1,0,0,0,1,5,2,1,5,4,1,3,2,1
174,1,1,0,1,0,2,0,0,0,0,4,4,1,4,4,1,3,1,1
175,0,0,0,1,1,2,1,1,0,0,4,4,2,4,4,4,1,1,2
176,1,1,4,1,2,1,1,0,0,1,4,4,4,5,4,4,2,1,2
177,0,1,1,1,2,1,1,1,0,0,4,1,4,5,2,4,3,2,1
178,0,1,4,1,2,1,1,1,0,1,5,2,4,5,4,1,1,1,2
179,1,1,2,0,1,1,0,0,0,0,5,4,4,5,4,4,1,2,1
180,0,0,3,1,2,1,0,0,0,0,4,2,2,5,4,1,3,1,1
181,0,0,0,0,2,1,1,0,0,0,4,2,2,5,1,1,1,1,1
182,0,0,0,1,3,1,1,0,1,0,2,1,2,2,2,2,2,1,2
183,0,1,3,1,1,0,0,0,0,1,2,2,2,5,2,2,1,0,2
184,0,1,0,1,2,1,1,1,0,0,5,2,2,5,4,1,2,1,1
185,1,1,1,0,1,1,1,1,0,0,5,2,2,5,2,1,2,2,1
186,0,1,4,1,1,1,1,0,0,1,4,2,1,5,4,1,2,1,2
187,0,1,3,1,3,1,1,1,1,1,5,2,4,5,2,4,0,2,2
188,0,1,4,0,3,1,1,0,0,0,5,1,4,5,4,1,1,1,2
189,0,0,2,1,1,1,1,0,0,0,2,1,1,4,2,2,3,2,1
190,0,0,0,1,1,2,1,0,0,0,4,4,1,4,2,4,3,2,1
191,0,1,4,1,1,2,1,0,0,1,4,2,2,4,2,2,3,1,2
192,0,0,4,0,0,2,0,0,1,0,5,4,1,5,5,1,3,0,2
193,0,0,4,1,2,1,1,0,0,1,3,2,1,4,1,1,1,0,2
194,0,0,3,1,2,1,1,0,0,0,3,3,2,4,1,1,2,1,0
195,0,1,3,0,3,1,1,0,0,0,3,5,2,5,4,4,1,2,2
196,0,0,1,1,1,1,0,0,0,0,2,2,1,4,2,1,2,2,2
197,0,1,2,1,1,2,0,0,0,1,4,2,2,5,5,2,3,2,1
198,0,0,3,1,2,1,1,1,0,0,4,2,2,4,2,4,1,1,1
199,0,0,2,0,2,2,1,0,1,0,4,4,4,4,2,4,3,1,1
200,0,1,1,0,2,2,1,0,0,0,5,2,2,5,2,1,3,2,1
201,0,0,0,1,1,1,0,0,0,0,5,4,1,5,4,1,2,0,2
202,0,0,2,0,2,0,1,0,1,1,3,2,4,4,2,4,1,1,1
203,1,1,3,1,2,2,1,0,0,1,5,4,5,5,4,2,3,2,2
204,0,1,3,1,3,2,1,0,0,0,4,2,1,5,5,1,0,1,1
205,0,0,2,1,0,1,0,0,0,0,5,1,1,5,1,1,3,2,1
206,0,1,2,1,1,2,0,1,0,1,4,4,2,2,4,2,2,1,1
207,0,1,4,1,2,2,1,0,0,1,5,2,1,4,5,1,3,1,2
208,0,0,0,1,1,0,1,0,1,0,5,5,4,5,5,4,0,0,1
209,0,0,0,0,3,0,1,1,1,0,4,2,1,4,2,2,0,0,1
210,0,1,3,0,2,2,1,0,0,0,4,2,1,5,4,1,3,2,1
211,0,0,0,0,1,1,0,0,0,0,4,1,2,4,1,2,2,1,2
212,0,0,0,1,2,1,1,1,1,0,5,4,5,2,4,5,0,0,2
213,0,0,4,1,2,2,1,1,1,0,4,2,2,4,2,2,3,2,0
214,0,1,4,0,1,0,1,1,1,1,3,1,1,5,4,2,1,1,2
215,1,1,3,1,2,2,1,1,0,1,5,4,4,5,5,4,2,1,1
216,1,1,4,0,0,1,1,0,0,1,5,2,1,5,4,4,3,2,2
217,0,1,4,1,2,2,1,1,1,1,3,1,2,4,1,1,3,1,1
218,0,0,4,0,2,1,1,0,0,0,4,3,2,5,4,4,3,1,2
219,0,0,2,1,2,1,1,1,1,0,4,5,5,5,5,4,1,1,1
220,0,0,1,1,1,1,1,0,0,0,5,2,1,5,2,2,3,1,1
221,1,1,1,0,2,1,1,0,0,0,5,4,4,5,4,4,3,2,1
222,0,0,1,1,2,1,1,0,0,0,4,2,4,4,2,4,3,2,2
223,0,0,1,0,3,2,1,1,0,0,5,1,2,5,4,2,3,0,1
224,0,0,3,0,2,1,0,1,0,1,4,2,2,4,2,2,2,1,0
225,0,1,3,0,2,1,1,0,0,0,4,2,2,5,4,1,3,2,1
226,0,1,2,1,1,2,1,1,1,0,3,1,1,4,3,1,2,1,1
227,1,1,0,1,2,1,1,0,0,0,4,4,4,5,4,4,3,1,1
228,0,1,2,1,2,2,1,1,0,0,5,4,1,5,4,2,3,1,1
229,0,0,2,1,2,1,1,0,0,0,4,2,2,4,4,4,1,1,2
230,0,0,4,1,2,1,1,1,1,1,2,2,5,4,4,1,1,1,2
231,0,1,1,0,1,1,0,0,0,0,2,1,2,2,2,2,3,1,1
232,0,0,0,1,3,2,0,0,0,0,2,2,1,2,2,2,3,1,1
233,0,1,3,1,2,2,1,0,0,0,4,4,4,4,4,4,3,2,1
234,0,0,2,1,2,2,1,1,0,1,4,1,2,4,2,2,3,2,0
235,0,0,0,0,1,2,1,0,0,0,5,1,1,5,4,1,3,0,2
236,0,0,3,0,2,1,1,1,1,0,3,2,5,4,2,4,1,0,2
237,0,1,1,1,2,2,1,0,0,1,5,1,4,4,2,2,3,2,1
238,0,0,4,1,1,1,1,0,0,1,3,2,2,3,2,2,2,1,2
239,1,1,1,1,2,1,1,0,0,1,5,1,1,5,1,2,0,0,1
240,0,0,0,0,1,2,0,0,0,0,3,1,1,3,1,1,1,2,1
241,1,1,3,1,1,1,1,0,0,1,5,2,2,4,4,4,1,2,1
242,0,0,2,1,1,2,1,0,0,1,5,2,2,2,4,1,3,1,1
243,0,1,4,1,3,1,1,1,1,0,3,2,4,4,4,4,3,1,2
244,0,0,0,0,1,1,1,0,0,0,4,2,2,2,2,2,3,1,0
245,0,0,3,0,3,1,0,0,0,0,4,2,4,4,2,4,0,1,1
246,1,1,4,0,2,0,1,1,1,0,5,4,4,5,4,2,2,1,2
247,0,0,4,0,3,0,1,1,1,0,5,2,5,5,5,5,1,2,1
248,0,0,3,1,1,2,1,0,1,0,3,1,1,2,1,1,0,1,1
249,1,1,3,0,0,2,0,1,0,0,5,5,1,5,5,1,3,2,1
250,1,1,0,0,0,2,1,0,0,0,5,2,1,4,4,1,2,1,1
251,1,1,4,1,2,2,1,0,0,1,4,2,2,4,4,2,1,1,2
252,0,0,4,1,2,1,1,0,0,0,4,2,2,5,1,1,3,1,2
253,0,1,3,0,1,1,0,0,0,0,4,2,1,4,4,1,3,2,1
254,0,0,3,1,1,1,0,0,0,0,4,2,2,4,2,4,3,2,2
255,0,0,2,0,3,1,1,1,0,0,5,1,2,5,2,2,1,1,1
256,0,1,0,1,2,1,1,0,0,1,5,2,1,5,5,2,3,1,1
257,0,0,2,0,0,2,1,0,0,0,4,1,1,4,1,1,3,2,1
258,1,1,2,0,0,1,1,0,0,0,4,2,1,2,1,1,1,2,1
259,1,1,2,0,1,1,1,0,0,1,5,2,2,4,2,2,3,1,0
260,0,0,4,1,0,1,0,0,0,0,5,1,1,4,1,1,2,1,2
261,0,0,2,1,1,1,1,0,0,0,3,1,1,1,2,1,2,1,1
262,1,1,2,1,2,2,1,0,0,0,4,4,2,5,5,2,1,2,1
263,1,1,3,1,1,2,1,0,0,0,5,1,1,5,2,1,1,2,2
264,0,1,1,1,2,1,0,0,0,0,4,4,2,5,4,1,0,2,1
265,1,1,1,1,1,1,0,0,0,0,5,1,1,3,2,1,3,2,2
266,0,0,1,1,0,2,0,0,0,0,5,1,1,4,1,1,1,2,1
267,0,1,2,0,3,1,1,1,0,1,5,1,5,5,1,1,0,0,2
268,1,1,2,0,2,2,1,0,0,0,4,5,4,4,5,4,3,2,1
269,0,0,4,1,2,2,1,0,0,0,4,2,2,5,2,2,3,1,2
270,0,0,4,1,0,1,1,1,1,0,4,1,4,4,1,1,1,1,2
271,0,0,2,1,3,1,1,1,1,0,4,1,1,5,1,1,1,1,0
272,0,1,4,0,2,1,1,1,1,1,5,4,4,5,4,4,2,2,2
273,0,0,2,0,2,1,1,0,0,1,5,2,1,4,2,1,3,2,1
274,0,1,4,1,2,2,1,0,0,0,4,2,4,4,4,4,2,2,2
275,0,0,0,1,0,1,1,0,0,0,4,1,1,4,1,1,1,0,0
276,0,0,4,0,2,1,1,0,0,0,4,4,4,4,2,2,1,1,2
277,0,0,4,1,3,0,0,0,1,0,3,1,5,3,1,4,2,0,2
278,1,1,0,1,1,2,0,0,0,0,4,4,2,4,4,1,3,1,1
279,0,0,0,0,2,1,1,1,1,0,4,2,2,4,2,2,3,1,1
280,0,0,0,0,2,1,0,0,0,0,2,1,1,4,2,1,1,1,1
281,0,0,0,0,0,1,1,1,1,0,5,1,4,5,2,4,2,0,1
282,0,0,0,0,1,1,1,0,0,0,4,1,4,4,1,4,3,1,1
283,0,1,2,1,2,1,1,1,1,0,5,4,5,5,4,2,2,0,2
284,0,1,3,1,2,2,1,0,0,0,4,1,1,5,2,1,3,2,1
285,1,1,4,0,3,2,0,1,1,1,5,4,2,5,5,1,2,2,2
286,0,0,0,1,3,1,0,1,1,0,5,2,5,5,4,5,0,0,2
287,1,1,3,1,1,2,1,0,0,0,3,1,4,4,4,4,3,2,1
288,0,0,0,0,2,1,1,0,0,0,4,2,4,4,2,2,3,1,1
289,0,0,3,1,2,1,1,1,1,0,3,1,3,4,2,1,1,1,2
290,0,1,4,1,1,1,1,1,1,1,4,4,1,5,4,1,1,1,2
291,0,0,2,0,2,2,1,0,0,0,3,2,2,4,2,2,1,2,1
292,1,1,2,0,2,2,1,0,0,0,4,4,4,5,4,4,3,1,1
293,0,0,1,1,1,1,0,0,0,0,4,2,1,4,2,2,2,1,0
294,1,0,4,0,2,2,1,1,1,0,5,4,4,5,4,4,3,2,2
295,0,0,1,1,1,2,0,0,0,0,2,4,2,4,4,2,3,1,1
296,1,1,2,0,3,1,0,0,0,1,5,5,5,5,5,1,1,1,2
297,0,0,3,1,3,1,0,1,1,0,5,4,5,5,4,5,0,0,2
298,0,1,4,1,2,2,1,0,1,0,4,4,4,5,5,1,1,0,2
299,0,1,0,0,1,2,1,0,0,0,4,2,2,4,2,1,3,2,1
300,0,0,0,0,2,1,1,1,1,0,5,4,2,4,4,2,2,2,2
301,1,1,3,1,0,2,0,0,0,1,4,1,1,4,1,1,2,1,1
302,0,1,4,1,3,1,1,1,1,1,4,2,4,4,2,2,0,1,2
303,0,0,0,1,2,1,1,0,1,1,5,1,2,4,1,5,1,1,2
304,0,0,3,1,1,2,1,0,0,0,4,1,4,4,2,1,3,2,1
305,0,1,2,0,2,1,1,0,0,0,3,2,1,4,1,1,3,2,1
306,0,0,0,0,0,1,0,0,0,0,4,2,1,4,2,1,1,0,0
307,0,0,2,0,0,1,0,0,0,0,3,1,1,4,1,1,3,1,1
308,0,1,4,1,3,2,1,1,1,0,4,5,1,5,5,2,3,1,1
309,0,0,3,1,2,1,1,1,1,0,3,2,2,4,4,2,3,1,1
310,1,0,2,1,2,2,1,1,0,0,5,2,2,4,4,1,2,1,1
311,1,1,3,1,1,1,0,0,0,0,4,2,4,4,2,2,2,1,1
312,0,0,3,0,3,2,1,1,1,1,5,5,5,5,5,1,2,1,1
313,0,0,1,1,3,0,1,0,1,0,3,5,5,5,4,5,2,1,0
314,0,0,3,1,2,1,1,1,1,1,4,4,1,4,2,1,2,1,2
315,0,0,2,1,3,1,0,0,0,1,2,1,4,1,4,5,2,0,2
316,0,0,4,1,2,2,1,1,1,1,4,3,4,5,4,4,3,1,2
317,1,1,4,0,0,1,1,0,0,0,4,1,2,5,5,2,3,2,1
318,0,1,0,0,2,2,1,1,1,0,4,4,4,4,2,4,1,0,1
319,0,1,2,0,1,2,1,0,0,0,4,2,2,4,4,1,1,1,1
320,0,1,4,0,2,1,0,1,1,1,4,1,2,4,1,1,2,1,2
321,0,0,3,1,2,1,1,0,0,0,3,3,4,4,3,4,1,2,1
322,1,1,1,1,1,1,1,1,1,0,4,2,2,4,4,4,0,1,1
323,1,1,4,1,1,2,1,0,0,1,4,5,5,5,5,1,2,1,2
324,1,1,0,0,0,2,1,1,1,0,4,1,1,5,1,1,1,2,1
325,0,0,1,1,2,2,1,1,1,1,4,1,1,4,5,4,2,1,2
326,0,0,2,1,1,1,0,0,0,0,4,1,1,4,1,1,1,1,1
327,0,1,3,1,1,1,1,0,0,0,5,2,1,2,4,1,3,2,1
328,0,0,4,0,1,1,1,1,0,0,3,2,2,3,1,2,1,1,2
329,0,1,4,1,1,2,1,0,0,0,4,1,2,5,1,1,0,1,2
330,1,1,3,1,2,1,1,0,0,0,5,1,4,5,2,1,2,0,2
331,0,0,0,0,1,1,1,0,0,0,5,4,2,4,4,2,2,1,1
332,1,1,2,1,2,1,1,0,0,0,4,4,4,4,4,4,3,2,1
333,0,0,2,0,1,1,0,0,0,1,4,1,1,1,1,1,1,1,1
334,0,1,2,0,1,1,0,1,0,0,4,2,2,4,2,2,3,2,1
335,1,1,4,0,1,1,1,0,0,0,5,2,2,4,4,4,3,2,1
336,0,0,2,1,1,1,1,0,0,1,4,1,2,4,2,2,3,1,1
337,0,1,4,1,1,0,1,0,0,0,3,2,2,1,2,2,0,1,2
338,0,0,2,0,1,1,0,0,0,0,4,4,2,4,4,2,3,1,1
339,0,1,4,1,0,0,1,1,1,0,4,5,1,5,5,1,1,1,2
