respondent_id,h1n1_vaccine,seasonal_vaccine,h1n1_concern,h1n1_knowledge,behavioral_avoidance,behavioral_large_gatherings,behavioral_outside_home,chronic_med_condition,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,sex,income_poverty,employment_status
41,1,1,2,1,1,0,1,0,4,4,4,4,4,2,3,2,1,2,1
42,0,0,0,0,,0,0,0,3,1,4,3,1,5,3,1,0,1,1
44,0,0,,2,0,0,0,0,3,1,1,3,1,1,3,3,1,1,1
45,0,0,2,1,1,0,0,0,2,2,2,4,4,5,0,2,1,2,1
46,1,1,1,2,0,0,0,0,5,2,1,5,1,1,3,1,1,2,2
47,1,0,0,2,0,0,0,0,5,1,2,5,1,2,0,3,0,2,1
50,0,0,2,2,1,0,0,0,4,2,1,4,2,1,2,3,0,1,1
51,0,1,0,1,1,0,0,0,4,1,1,5,4,1,3,3,1,2,1
53,0,1,1,2,0,0,0,0,3,2,2,4,2,2,3,3,0,1,0
55,0,0,1,1,1,0,0,0,4,2,2,4,2,2,3,3,1,1,1
57,1,1,3,1,1,0,0,0,,2,4,4,4,1,3,0,0,,1
58,0,0,2,2,1,0,0,1,4,2,2,4,2,2,2,3,1,1,1
64,0,0,1,0,0,0,0,,3,3,2,3,,,2,,1,,
65,0,0,1,1,0,0,0,0,3,1,1,3,1,1,3,3,1,2,1
66,0,0,2,1,0,0,0,0,4,2,2,4,2,4,0,1,0,0,2
67,1,1,2,2,0,0,0,0,4,2,2,4,4,2,1,3,0,1,1
68,0,1,1,1,0,0,0,0,3,2,2,4,4,4,4,,1,,2
69,0,0,1,2,1,0,0,0,3,1,1,5,1,1,4,2,1,1,2
70,0,0,2,1,1,0,0,1,4,1,5,5,2,5,0,3,0,1,1
72,0,1,1,1,0,0,0,0,4,2,1,4,1,1,4,0,0,1,2
73,0,1,3,2,1,0,0,0,5,2,4,5,5,1,4,3,1,1,2
76,0,0,2,1,,0,0,1,4,2,2,5,4,2,3,3,0,2,1
77,0,1,1,1,1,0,0,0,5,1,1,5,5,4,1,1,1,2,1
78,0,1,0,1,0,0,0,0,5,2,1,5,2,1,4,3,0,,2
80,0,0,1,1,1,0,0,1,4,1,1,4,1,1,2,1,0,1,1
81,0,1,3,1,1,0,1,0,4,2,2,5,2,1,3,2,1,1,1
84,0,1,2,2,0,0,0,0,5,4,1,5,4,1,4,1,1,,2
86,0,0,0,2,0,0,0,0,3,1,2,4,1,2,2,0,0,2,0
89,0,0,2,1,0,0,0,0,,1,4,4,2,4,0,3,1,1,1
90,0,1,1,1,1,0,0,0,3,3,2,3,2,2,0,3,1,,1
92,0,0,1,1,0,0,0,0,2,1,4,4,1,1,0,1,0,1,1
93,0,1,2,1,0,0,0,0,5,4,4,5,4,2,0,3,0,1,2
94,0,0,2,0,0,0,1,0,5,5,5,5,5,1,1,,1,,
96,0,1,,1,1,0,,1,5,4,4,5,5,2,4,2,1,1,2
97,0,1,2,2,1,0,0,1,5,2,1,5,4,1,2,3,0,2,2
98,0,0,0,1,0,0,0,0,4,2,5,2,2,5,0,2,1,0,2
100,0,0,2,1,1,0,1,0,4,3,2,2,3,4,0,1,1,1,1
101,0,1,1,2,1,0,0,1,4,5,1,1,5,1,2,2,1,2,1
102,0,1,2,2,1,0,0,1,3,5,1,5,2,4,4,3,0,2,2
103,0,0,2,1,1,0,0,0,3,1,1,4,1,2,2,1,0,0,0
105,0,0,1,1,0,0,0,0,5,1,1,5,2,1,1,,1,,
106,0,0,0,2,1,0,0,0,4,1,1,4,1,1,0,3,1,1,0
107,1,1,2,1,1,0,0,0,5,4,1,5,4,1,2,3,0,2,1
108,0,0,3,2,1,0,0,0,5,2,1,2,2,1,1,3,1,2,1
110,1,1,2,2,1,0,0,0,5,4,4,5,4,4,3,3,1,1,2
112,1,1,3,2,1,0,0,1,4,4,4,5,4,4,3,1,1,1,1
114,0,1,1,1,1,0,0,0,4,1,2,4,2,2,1,3,1,1,1
116,1,1,2,1,0,0,0,0,4,2,1,5,2,2,3,1,1,1,1
118,0,1,0,2,1,0,1,0,3,1,1,4,2,2,2,2,1,1,1
119,0,1,3,2,1,0,,0,3,4,4,4,4,4,1,3,0,1,1
120,0,0,1,1,0,0,0,0,3,1,1,4,2,1,1,1,1,1,2
121,1,0,1,1,0,0,0,0,4,1,4,4,2,2,3,3,0,1,1
122,1,1,2,2,1,0,1,1,5,4,1,5,5,1,4,0,1,0,2
123,0,1,3,2,1,0,0,1,5,2,2,5,3,2,4,3,0,2,2
124,0,0,0,1,0,0,0,0,5,1,1,5,1,1,0,3,0,1,1
125,0,1,2,1,1,0,0,0,4,3,2,4,3,1,1,3,1,1,2
126,0,0,0,1,1,0,0,0,2,4,1,4,4,2,3,1,0,1,1
127,1,1,0,2,1,0,1,0,4,5,5,5,5,5,2,2,1,1,2
129,0,0,2,1,1,0,0,0,4,2,1,4,4,2,2,3,1,1,1
130,0,0,2,1,1,0,0,0,4,4,4,4,4,4,3,2,0,1,1
131,0,1,3,1,1,0,1,0,4,4,4,4,4,5,3,2,1,1,1
133,0,1,0,1,1,0,0,0,4,1,4,5,4,1,4,3,0,1,2
134,0,1,2,2,0,0,1,0,5,1,2,5,2,2,4,2,1,1,2
137,0,0,2,1,0,0,0,0,5,1,4,5,2,2,3,3,0,1,2
138,0,1,3,2,1,0,0,0,4,2,2,4,2,1,4,3,1,2,2
140,1,1,2,2,1,0,1,0,5,2,1,5,4,1,3,2,1,1,2
142,0,0,2,1,1,0,0,0,3,2,2,4,2,1,3,1,1,1,1
143,0,0,1,1,0,0,0,0,4,2,2,4,4,2,1,3,1,1,1
145,0,0,0,2,1,0,0,0,5,1,3,4,1,5,4,2,1,1,2
146,0,1,2,1,1,0,0,0,5,4,1,5,4,1,2,3,1,2,2
148,0,1,1,2,1,0,0,0,4,2,2,4,2,1,3,3,0,2,1
149,0,0,0,1,0,0,0,0,4,1,1,4,1,1,0,0,0,1,1
150,0,0,,1,0,0,0,0,5,2,4,4,2,4,1,3,1,2,1
153,0,1,0,1,1,0,0,0,2,2,2,5,4,4,2,3,0,0,1
154,0,0,0,0,1,0,0,0,2,1,1,2,1,1,4,2,1,,2
156,0,0,1,2,1,0,0,0,4,2,2,4,2,1,2,1,0,1,1
157,0,0,1,1,1,0,0,1,4,1,1,4,2,1,2,1,0,1,1
158,1,1,2,2,1,0,0,1,4,1,1,4,2,1,3,3,1,,1
162,1,0,1,1,0,0,0,0,4,1,1,4,1,1,1,3,0,,1
163,0,0,2,1,1,0,0,0,4,2,4,4,2,1,0,0,0,1,1
164,0,1,1,1,1,0,0,0,4,1,1,4,2,2,4,3,0,2,2
166,0,0,1,1,1,0,0,0,4,2,2,2,2,2,1,3,1,2,1
168,1,1,0,2,0,0,0,1,5,5,2,5,5,1,2,0,0,0,0
169,0,0,2,1,1,0,0,0,4,1,4,4,4,1,3,2,0,1,1
170,0,0,3,0,1,0,0,0,5,4,4,4,4,4,0,1,0,,1
171,0,1,1,1,1,0,0,0,4,2,4,4,2,4,1,2,1,1,1
172,1,1,3,2,1,0,0,0,5,1,2,5,4,2,3,3,1,1,2
173,0,0,2,0,0,0,0,0,4,1,1,5,1,1,0,1,0,1,0
174,0,0,1,1,0,0,0,0,3,2,2,4,1,1,0,3,1,2,1
176,0,0,0,1,0,0,0,0,4,1,1,4,1,1,0,3,0,1,1
177,0,1,2,2,1,0,0,0,4,4,4,5,4,1,0,2,1,1,1
178,1,0,3,0,1,0,0,0,5,5,2,5,4,5,1,0,1,0,2
179,1,0,1,2,1,0,0,0,4,2,2,4,2,2,1,3,1,2,2
180,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,2,0,2,1
182,0,0,2,1,0,0,0,0,4,2,1,4,2,2,4,2,1,1,2
184,0,0,0,1,0,0,0,1,1,1,1,4,1,1,2,3,1,2,1
185,1,1,1,1,0,0,0,0,5,5,4,5,4,2,4,1,0,1,2
186,0,0,2,1,1,0,0,0,4,2,2,4,2,2,2,1,0,1,1
187,0,0,1,1,0,0,0,0,4,1,2,2,1,1,4,2,0,1,2
190,0,0,2,2,1,0,0,0,5,1,4,5,2,4,0,1,1,0,1
193,0,1,1,1,0,0,1,0,5,2,2,5,5,4,0,2,1,1,0
194,0,0,2,1,1,0,0,0,3,4,1,4,2,1,3,2,0,1,2
199,0,1,1,2,1,0,0,1,3,3,2,4,1,1,0,3,1,2,1
200,0,0,1,2,1,0,0,0,4,2,2,4,2,1,0,2,1,1,2
201,0,0,2,1,1,0,0,0,4,2,4,4,4,4,0,1,1,1,1
202,0,0,1,1,1,0,0,0,4,1,1,5,2,1,0,2,0,1,1
203,1,1,3,1,0,0,1,,,,,,,,0,,1,,
204,1,1,2,2,1,0,0,1,5,4,4,4,4,2,2,3,0,2,1
205,0,0,1,1,1,0,0,,3,2,4,5,2,1,1,,1,,
206,0,0,0,2,1,0,0,0,4,2,1,4,2,2,0,2,0,1,1
207,0,1,3,1,0,0,1,1,4,4,4,5,5,2,3,0,1,0,2
208,0,1,0,1,1,0,0,0,4,1,1,4,2,1,4,3,1,2,2
209,0,1,1,2,0,0,0,0,5,1,1,5,4,4,3,3,0,1,1
210,0,0,2,1,1,0,0,0,4,1,1,5,4,1,2,1,0,2,1
211,1,1,0,1,1,0,0,1,3,1,4,1,1,4,1,1,1,2,2
212,0,1,1,1,0,0,0,1,5,2,1,5,4,1,3,3,0,2,1
213,1,1,0,2,0,0,0,0,4,4,1,4,4,1,0,3,1,1,1
215,1,1,2,1,1,0,0,1,4,4,4,5,4,4,4,2,1,1,2
217,0,0,1,1,1,0,0,0,,1,1,,1,1,0,3,1,1,2
219,1,1,1,1,0,0,0,0,5,4,4,5,4,4,2,1,0,2,1
220,0,0,2,1,0,0,0,0,4,2,2,5,4,1,3,3,1,1,1
221,0,0,2,1,1,0,0,0,4,2,2,5,1,1,0,1,0,1,1
222,0,0,3,1,1,0,1,0,2,1,2,2,2,2,0,2,1,1,2
223,0,1,1,0,0,0,0,1,2,2,2,5,2,2,3,1,1,0,2
225,1,0,3,1,0,0,0,0,5,1,4,4,1,2,3,0,0,,2
226,0,1,1,1,1,0,0,0,4,2,1,4,2,1,4,3,1,,1
227,0,1,2,1,1,0,0,0,3,2,4,5,2,4,2,0,1,,0
229,0,1,1,1,1,0,0,1,4,2,1,5,4,1,4,2,1,1,2
231,0,1,3,1,1,0,0,0,5,1,4,5,4,1,4,1,0,1,2
233,0,0,1,1,1,0,0,0,2,1,1,4,2,2,2,3,1,2,1
234,0,0,1,2,1,0,0,0,4,4,1,4,2,4,0,3,1,2,1
235,0,1,2,2,1,0,0,0,5,2,4,5,4,2,4,3,0,,2
236,0,1,1,2,1,0,0,1,4,2,2,4,2,2,4,3,1,1,2
238,0,0,0,2,0,0,1,0,5,4,1,5,5,1,4,3,0,0,2
239,0,0,2,1,1,0,0,1,3,2,1,4,1,1,4,1,1,0,2
240,0,0,2,1,1,0,0,0,3,3,2,4,1,1,3,2,1,1,0
241,0,1,3,1,1,0,0,0,3,5,2,5,4,4,3,1,0,2,2
242,0,0,1,1,0,0,0,0,2,2,1,4,2,1,1,2,1,2,2
243,0,1,1,1,1,0,0,1,3,1,1,2,1,2,4,3,1,,2
244,0,1,1,2,0,0,0,1,4,2,2,5,5,2,2,3,1,2,1
246,0,0,2,2,1,0,1,0,4,4,4,4,2,4,2,3,0,1,1
247,0,1,2,2,1,0,0,0,5,2,2,5,2,1,1,3,0,2,1
248,0,0,1,1,0,0,0,0,5,4,1,5,4,1,0,2,1,0,2
249,0,0,2,0,1,0,1,1,3,2,4,4,2,4,2,1,0,1,1
250,1,1,2,2,1,0,0,1,5,4,5,5,4,2,3,3,1,2,2
251,0,1,3,2,1,0,0,0,4,2,1,5,5,1,3,0,1,1,1
252,0,0,0,1,0,0,0,0,5,1,1,5,1,1,2,3,1,2,1
254,0,1,2,2,1,0,0,1,5,2,1,4,5,1,4,3,1,1,2
255,0,0,1,0,1,0,1,0,5,5,4,5,5,4,0,0,1,0,1
257,0,1,2,2,1,0,0,0,4,2,1,5,4,1,3,3,0,2,1
258,0,0,1,1,0,0,0,0,4,1,2,4,1,2,0,2,0,1,2
263,1,1,0,1,1,0,0,1,5,2,1,5,4,4,4,3,0,2,2
265,0,0,2,1,1,0,0,0,4,3,2,5,4,4,4,3,0,1,2
267,0,0,1,1,1,0,0,0,5,2,1,5,2,2,1,3,1,1,1
268,1,1,2,1,1,0,0,0,5,4,4,5,4,4,1,3,0,2,1
270,0,0,2,1,1,0,0,0,4,2,4,4,2,4,1,3,1,2,2
275,0,1,2,1,1,0,0,0,4,2,2,5,4,1,3,3,0,2,1
278,1,1,2,1,1,0,0,0,4,4,4,5,4,4,0,3,1,1,1
281,0,0,2,1,1,0,0,0,4,2,2,4,4,4,2,1,1,1,2
284,1,1,3,2,1,0,0,0,2,4,5,4,4,4,1,3,0,,1
285,0,1,1,1,0,0,0,0,2,1,2,2,2,2,1,3,0,1,1
287,0,0,3,2,0,0,0,0,2,2,1,2,2,2,0,3,1,1,1
288,0,1,2,2,1,0,0,0,4,4,4,4,4,4,3,3,1,2,1
290,0,0,1,2,1,0,0,0,5,1,1,5,4,1,0,3,0,0,2
292,0,1,2,2,1,0,0,1,5,1,4,4,2,2,1,3,1,2,1
293,0,0,1,1,1,0,0,1,3,2,2,3,2,2,4,2,1,1,2
294,1,1,2,1,1,0,0,1,5,1,1,5,1,2,1,0,1,0,1
296,0,0,1,2,0,0,0,0,3,1,1,3,1,1,0,1,0,2,1
297,1,1,1,1,1,0,0,1,5,2,2,4,4,4,3,1,1,2,1
298,0,0,1,2,1,0,0,1,5,2,2,2,4,1,2,3,1,1,1
301,0,0,1,1,1,0,0,0,4,2,2,2,2,2,0,3,0,1,0
302,0,0,3,1,0,0,0,0,4,2,4,4,2,4,3,0,0,1,1
305,0,0,1,2,1,0,1,0,3,1,1,2,1,1,3,0,1,1,1
307,1,1,0,2,1,0,0,0,5,2,1,4,4,1,0,2,0,1,1
308,1,1,2,2,1,0,0,1,4,2,2,4,4,2,4,1,1,1,2
309,0,0,2,1,1,0,0,0,4,2,2,5,1,1,4,3,1,1,2
310,0,0,2,1,0,0,0,0,5,1,1,5,1,1,3,3,0,,1
311,0,1,1,1,0,0,0,0,4,2,1,4,4,1,3,3,0,2,1
312,0,0,1,1,0,0,0,0,4,2,2,4,2,4,3,3,1,2,2
314,0,1,2,1,1,0,0,1,5,2,1,5,5,2,0,3,1,1,1
315,0,0,0,2,1,0,0,0,4,1,1,4,1,1,2,3,0,2,1
316,0,0,2,1,1,0,1,0,3,3,2,3,5,3,0,2,1,,2
317,0,0,2,1,0,0,0,0,3,2,2,4,4,2,0,0,0,,1
318,1,1,0,1,1,0,0,0,4,2,1,2,1,1,2,1,0,2,1
319,1,1,1,1,1,0,0,1,5,2,2,4,2,2,2,3,0,1,0
320,0,0,0,1,0,0,0,0,5,1,1,4,1,1,4,2,1,1,2
321,0,0,1,1,1,0,0,0,3,1,1,1,2,1,2,2,1,1,1
322,1,1,2,2,1,0,0,0,4,4,2,5,5,2,2,1,1,2,1
323,1,1,1,2,1,0,0,0,5,1,1,5,2,1,3,1,1,2,2
324,0,1,2,1,0,0,0,0,4,4,2,5,4,1,1,0,1,2,1
325,1,1,1,1,0,0,0,0,5,1,1,3,2,1,1,3,1,2,2
326,0,0,0,2,0,0,0,0,5,1,1,4,1,1,1,1,1,2,1
328,0,0,1,1,0,0,0,,3,3,1,3,,,3,,0,,
329,1,1,2,2,1,0,0,0,4,5,4,4,5,4,2,3,0,2,1
330,0,0,2,2,1,0,0,0,4,2,2,5,2,2,4,3,1,1,2
334,0,0,2,1,1,0,0,1,5,2,1,4,2,1,2,3,0,2,1
335,0,1,2,2,1,0,0,0,4,2,4,4,4,4,4,2,1,2,2
336,0,0,0,1,1,0,0,0,4,1,1,4,1,1,0,1,1,0,0
337,0,0,2,1,1,0,0,0,4,4,4,4,2,2,4,1,0,1,2
338,0,0,3,0,0,0,1,0,3,1,5,3,1,4,4,2,1,0,2
339,1,1,1,2,0,0,0,0,4,4,2,4,4,1,0,3,1,1,1
341,0,0,2,1,0,0,0,0,2,1,1,4,2,1,0,1,0,1,1
343,0,0,1,1,1,0,0,0,4,1,4,4,1,4,0,3,0,1,1
345,0,1,2,2,1,0,0,0,4,1,1,5,2,1,3,3,1,2,1
348,1,1,1,2,1,0,0,0,3,1,4,4,4,4,3,3,1,2,1
349,0,0,2,1,1,0,0,0,4,2,4,4,2,2,0,3,0,1,1
352,0,0,2,2,1,0,0,0,3,2,2,4,2,2,2,1,0,2,1
354,1,1,2,2,1,0,0,0,4,4,4,5,4,4,2,3,0,1,1
355,0,0,1,1,0,0,0,0,4,2,1,4,2,2,1,2,1,1,0
358,0,0,1,2,0,0,0,0,2,4,2,4,4,2,1,3,1,1,1
359,1,1,3,1,0,0,0,1,5,5,5,5,5,1,2,1,0,1,2
361,0,1,2,2,1,0,1,0,4,4,4,5,5,1,4,1,1,0,2
362,0,1,1,2,1,0,0,0,4,2,2,4,2,1,0,3,0,2,1
364,1,1,0,2,0,0,0,1,4,1,1,4,1,1,3,2,1,1,1
366,0,0,2,1,1,0,1,1,5,1,2,4,1,5,0,1,1,1,2
367,0,0,1,2,1,0,0,0,4,1,4,4,2,1,3,3,1,2,1
368,0,1,2,1,1,0,0,0,3,2,1,4,1,1,2,3,0,2,1
369,0,0,0,1,0,0,0,0,4,2,1,4,2,1,0,1,0,0,0
370,0,0,0,1,0,0,0,0,3,1,1,4,1,1,2,3,0,1,1
375,1,1,1,1,0,0,0,0,4,2,4,4,2,2,3,2,1,1,1
377,0,0,3,0,1,0,1,0,3,5,5,5,4,5,1,2,1,1,0
379,1,1,2,2,0,0,0,,3,3,4,4,3,2,2,,1,,
380,0,0,3,1,0,0,0,1,2,1,4,1,4,5,2,2,1,0,2
382,1,1,0,1,1,0,0,0,4,1,2,5,5,2,4,3,0,2,1
384,0,1,1,2,1,0,0,0,4,2,2,4,4,1,2,1,0,1,1
386,0,0,2,1,1,0,0,0,3,3,4,4,3,4,3,1,1,2,1
388,1,1,1,2,1,0,0,1,4,5,5,5,5,1,4,2,1,1,2
391,0,0,1,1,0,0,0,0,4,1,1,4,1,1,2,1,1,1,1
393,0,1,1,1,1,0,0,0,5,2,1,2,4,1,3,3,1,2,1
395,0,1,1,2,1,0,0,0,4,1,2,5,1,1,4,0,1,1,2
396,0,0,2,0,1,0,0,0,3,1,2,3,1,2,1,3,0,,1
397,1,1,2,1,1,0,0,0,5,1,4,5,2,1,3,2,1,0,2
398,0,0,1,1,1,0,0,0,5,4,2,4,4,2,0,2,0,1,1
399,1,1,2,1,1,0,0,0,4,4,4,4,4,4,2,3,1,2,1
400,0,0,1,1,0,0,0,1,4,1,1,1,1,1,2,1,0,1,1
404,1,1,1,1,1,0,0,0,5,2,2,4,4,4,4,3,0,2,1
405,0,0,0,,0,0,0,1,1,1,1,4,1,1,3,2,0,1,0
407,0,0,1,1,1,0,0,1,4,1,2,4,2,2,2,3,1,1,1
408,0,1,1,0,1,0,0,0,3,2,2,1,2,2,4,0,1,1,2
410,0,1,1,2,0,0,0,,,,,,,,0,,0,,
412,0,0,1,1,0,0,0,0,4,4,2,4,4,2,2,3,0,1,1
414,1,1,2,2,0,0,0,0,5,5,2,5,5,2,1,0,1,1,1
415,0,1,2,1,0,0,0,0,5,1,1,5,4,1,1,3,0,2,1
421,0,0,1,1,1,0,1,0,5,1,1,4,2,1,3,2,0,,2
422,0,1,1,1,0,0,0,1,3,1,1,5,4,1,4,2,1,0,2
423,1,0,1,1,1,0,0,1,5,1,2,4,5,1,0,2,1,2,2
424,0,0,2,1,0,0,1,1,2,1,1,4,1,1,2,2,0,2,1
434,0,1,0,1,0,0,0,1,3,1,1,4,4,1,4,3,0,2,1
435,0,0,1,1,1,0,0,0,4,1,1,4,1,4,3,1,1,2,1
437,0,1,1,1,1,0,0,0,5,1,1,5,2,2,1,3,1,2,2
439,0,0,3,1,1,0,1,1,5,5,4,5,2,1,3,2,1,1,2
440,0,0,3,1,0,0,0,0,4,4,4,5,4,4,0,2,1,1,1
441,0,1,1,1,0,0,0,0,5,1,1,5,2,1,4,3,1,,2
443,0,0,1,1,0,0,0,0,1,1,1,1,1,5,4,2,1,0,1
444,0,0,0,2,1,0,0,0,1,1,1,1,1,1,0,2,0,1,1
446,0,1,3,1,0,0,0,0,4,1,4,4,2,1,2,1,1,1,2
447,0,0,2,2,1,0,0,0,4,1,2,2,1,2,0,3,1,1,1
448,1,0,2,1,0,0,0,0,5,1,1,5,4,1,4,0,0,1,2
450,0,0,3,2,1,0,0,0,5,2,2,4,2,2,2,1,1,1,1
451,0,0,0,1,0,0,0,0,4,1,1,2,1,1,4,2,1,,2
452,0,0,1,1,0,0,0,0,4,2,2,2,2,2,1,1,1,,
453,0,0,2,1,0,0,0,1,4,2,1,4,2,2,1,2,1,1,2
455,0,0,2,1,1,0,0,0,4,4,4,2,5,4,3,3,1,1,1
456,0,0,2,2,0,0,0,0,5,4,4,4,4,4,2,3,1,1,1
459,0,1,3,1,0,0,0,0,3,1,1,4,3,2,4,3,0,2,2
460,1,1,1,2,0,0,0,0,5,2,2,4,2,1,3,3,1,2,1
461,0,1,1,1,0,0,0,1,4,2,2,5,4,1,2,3,1,1,1
462,0,0,1,2,1,0,0,0,4,1,2,4,2,1,0,3,0,2,1
463,0,1,2,1,1,0,1,1,5,5,4,5,4,4,3,3,0,1,2
464,0,1,1,1,1,0,0,0,3,2,2,4,2,2,2,3,0,2,1
467,0,0,2,1,0,0,0,0,3,1,2,3,1,2,2,2,0,2,1
468,0,0,1,2,0,0,0,0,4,1,1,4,1,1,3,3,0,,2
470,0,0,2,1,0,0,0,0,4,1,4,4,1,2,3,2,0,1,2
471,0,1,1,1,0,0,0,0,3,3,1,5,1,1,4,1,1,,
472,1,1,0,1,0,0,0,0,4,4,1,4,2,2,0,2,0,1,1
473,0,1,1,1,1,0,0,0,4,2,1,4,4,1,2,3,0,2,1
474,0,1,2,1,1,0,1,0,4,4,2,4,4,2,3,1,0,1,1
476,1,1,3,1,0,0,0,0,4,2,4,4,2,4,4,2,0,1,2
477,0,1,1,1,0,0,0,0,2,2,1,4,1,1,0,2,1,1,2
478,0,0,1,2,1,0,1,1,4,1,1,4,1,4,2,2,1,0,1
479,0,0,1,2,0,0,0,0,2,2,5,2,1,4,2,2,1,1,2
480,0,0,2,1,1,0,1,1,5,1,2,4,1,2,4,3,1,1,2
481,1,1,2,1,1,0,0,0,5,4,1,5,4,1,1,3,1,2,1
483,0,0,0,0,0,0,0,0,3,1,1,3,1,1,0,2,0,2,1
484,0,0,2,1,0,0,0,0,4,2,4,4,2,2,1,3,1,2,2
485,0,0,3,1,1,0,1,0,5,1,4,5,2,1,0,3,0,2,0
486,0,0,1,2,0,0,0,0,,1,2,,2,1,3,2,1,,2
487,0,0,2,1,1,0,0,0,4,2,2,4,2,4,1,2,1,1,1
489,0,0,2,1,1,0,0,1,4,2,1,4,2,2,3,3,0,2,1
490,0,0,1,1,0,0,0,0,4,1,1,4,4,2,1,3,1,1,2
491,0,0,0,1,1,0,0,0,4,1,2,5,2,1,0,2,1,1,1
492,0,0,2,1,0,0,0,0,4,2,2,4,2,2,3,3,0,2,1
493,0,1,0,0,0,0,1,0,3,3,1,1,1,1,3,0,1,,2
495,0,0,1,1,0,0,0,0,2,2,2,4,2,2,0,1,1,1,1
496,0,0,0,1,0,0,0,0,4,1,1,4,2,1,4,3,0,1,1
497,0,0,1,1,1,0,0,1,4,2,1,4,1,1,4,2,0,,2
502,1,0,1,1,1,0,0,0,5,4,2,5,4,2,2,2,1,,1
503,0,1,1,1,1,0,0,0,2,1,2,4,4,2,0,3,1,1,1
504,1,1,2,2,0,0,1,1,5,1,1,5,5,1,3,2,0,1,2
505,0,1,2,2,1,0,0,0,4,2,2,4,2,2,4,3,1,,1
506,0,1,1,1,1,0,0,0,5,2,1,5,2,1,1,3,1,2,1
507,0,1,2,2,1,0,0,,5,2,1,5,2,1,3,3,1,1,1
508,0,1,0,1,1,0,0,0,4,2,1,4,2,1,2,3,1,2,2
510,1,1,3,1,1,0,0,1,5,5,1,5,5,1,2,2,1,1,0
511,0,1,2,1,1,0,0,0,4,2,4,4,4,1,2,1,1,1,2
512,0,0,0,2,0,0,0,0,4,1,1,4,2,4,3,3,1,2,2
513,0,1,1,1,0,0,0,1,4,2,1,5,4,1,4,1,0,1,2
516,1,1,3,2,1,0,0,0,5,4,5,5,4,4,3,3,0,2,1
518,0,1,2,2,1,0,0,0,5,2,1,5,2,1,4,3,1,2,2
520,0,0,1,1,1,0,0,0,4,2,2,4,2,2,0,2,0,2,1
522,0,0,2,1,0,0,0,0,4,2,4,4,5,4,0,1,0,1,1
524,0,0,1,1,1,0,0,1,1,1,2,4,5,1,1,2,1,1,2
526,0,0,0,2,0,0,0,1,2,1,1,4,1,1,2,2,0,2,1
527,0,0,1,1,1,0,0,0,4,2,5,5,1,2,0,2,1,0,2
529,0,1,2,2,1,0,0,1,4,2,2,4,2,1,4,1,1,1,1
530,0,0,0,0,0,0,0,0,3,1,1,2,1,1,4,1,0,0,2
